"No.","Time","Source","Destination","Protocol","Length","Info"
"15393","67.470838","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15394","67.470838","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15395","67.470838","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15396","67.470838","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15397","67.470838","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15398","67.470988","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","100","61400  >  443 Len=38"
"15399","67.471084","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15400","67.471084","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15401","67.471184","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","100","61400  >  443 Len=38"
"15402","67.471321","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15403","67.471321","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15404","67.471321","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15405","67.471859","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15406","67.471859","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15407","67.471859","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15408","67.471859","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15409","67.472096","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15410","67.472096","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
